Date,Number of flights, ,,,,,,,,,,
04/12/2019,5054,,,,,,,,,,,
05/12/2019,5257,,,,,,,,,,,
06/12/2019,5641,,,,,,,,,,,
07/12/2019,4227,,,,,,,,,,,
08/12/2019,5070,,,,,,,,,,,
09/12/2019,5570,,,,,,,,,,,
10/12/2019,4890,,,,,,,,,,,
11/12/2019,5109,,,,,,,,,,,
12/12/2019,5464,,,,,,,,,,,
13/12/2019,5821,,,,,,,,,,,
14/12/2019,4607,,,,,,,,,,,
15/12/2019,5245,,,,,,,,,,,
16/12/2019,5579,,,,,,,,,,,
17/12/2019,5033,,,,,,,,,,,
18/12/2019,5156,,,,,,,,,,,
19/12/2019,5800,,,,,,,,,,,
20/12/2019,5933,,,,,,,,,,,
21/12/2019,5070,,,,,,,,,,,
22/12/2019,5380,,,,,,,,,,,
23/12/2019,5494,,,,,,,,,,,
24/12/2019,3883,,,,,,,,,,,
25/12/2019,1386,*,,,,,,,,,,
26/12/2019,4498,*,,,,,,,,,,
27/12/2019,5513,*,,,,,,,,,,
28/12/2019,4894,*,,,,,,,,,,
29/12/2019,5220,*,,,,,,,,,,
30/12/2019,5140,*,,,,,,,,,,
31/12/2019,4112,*,,,,,,,,,,
01/01/2020,3950,,,,,,,,,,,
02/01/2020,5252,,,,,,,,,,,
03/01/2020,5536,,,,,,,,,,,
04/01/2020,4844,,,,,,,,,,,
05/01/2020,5390,,,,,,,,,,,
06/01/2020,5245,,,,,,,,,,,
07/01/2020,4630,,,,,,,,,,,
08/01/2020,4474,,,,,,,,,,,
09/01/2020,4801,,,,,,,,,,,
10/01/2020,5297,,,,,,,,,,,
11/01/2020,4199,,,,,,,,,,,
12/01/2020,4950,,,,,,,,,,,
13/01/2020,4825,,,,,,,,,,,
14/01/2020,4120,,,,,,,,,,,
15/01/2020,4362,,,,,,,,,,,
16/01/2020,4786,,,,,,,,,,,
17/01/2020,5310,,,,,,,,,,,
18/01/2020,4155,,,,,,,,,,,
19/01/2020,4990,,,,,,,,,,,
20/01/2020,5023,,,,,,,,,,,
21/01/2020,4364,,,,,,,,,,,
22/01/2020,4242,,,,,,,,,,,
23/01/2020,4886,,,,,,,,,,,
24/01/2020,5436,,,,,,,,,,,
25/01/2020,4135,,,,,,,,,,,
26/01/2020,4934,,,,,,,,,,,
27/01/2020,5031,,,,,,,,,,,
28/01/2020,4325,,,,,,,,,,,
29/01/2020,4404,,,,,,,,,,,
30/01/2020,4866,,,,,,,,,,,
31/01/2020,5414,,,,,,,,,,,
01/02/2020,4298,,,,,,,,,,,
02/02/2020,4969,,,,,,,,,,,
03/02/2020,5127,,,,,,,,,,,
04/02/2020,4524,,,,,,,,,,,
05/02/2020,4605,,,,,,,,,,,
06/02/2020,5058,,,,,,,,,,,
07/02/2020,5525,,,,,,,,,,,
08/02/2020,4410,,,,,,,,,,,
09/02/2020,3171,*,,,,,,,,,,
10/02/2020,5056,*,,,,,,,,,,
11/02/2020,4579,*,,,,,,,,,,
12/02/2020,4801,*,,,,,,,,,,
13/02/2020,5299,*,,,,,,,,,,
14/02/2020,5870,*,,,,,,,,,,
15/02/2020,4506,*,,,,,,,,,,
16/02/2020,4927,,,,,,,,,,,
17/02/2020,5392,,,,,,,,,,,
18/02/2020,4958,,,,,,,,,,,
19/02/2020,4906,,,,,,,,,,,
20/02/2020,5306,,,,,,,,,,,
21/02/2020,5722,,,,,,,,,,,
22/02/2020,4845,,,,,,,,,,,
23/02/2020,5460,,,,,,,,,,,
24/02/2020,5593,,,,,,,,,,,
25/02/2020,5162,,,,,,,,,,,
26/02/2020,5050,,,,,,,,,,,
27/02/2020,5448,,,,,,,,,,,
28/02/2020,5685,,,,,,,,,,,
29/02/2020,4531,,,,,,,,,,,
01/03/2020,5266,,,,,,,,,,,
02/03/2020,5503,,,,,,,,,,,
03/03/2020,5089,,,,,,,,,,,
04/03/2020,4891,,,,,,,,,,,
05/03/2020,4995,,,,,,,,,,,
06/03/2020,5309,,,,,,,,,,,
07/03/2020,4340,,,,,,,,,,,
08/03/2020,4953,,,,,,,,,,,
09/03/2020,5175,,,,,,,,,,,
10/03/2020,4470,,,,,,,,,,,
11/03/2020,4332,,,,,,,,,,,
12/03/2020,4903,,,,,,,,,,,
13/03/2020,5158,,,,,,,,,,,
14/03/2020,4093,,,,,,,,,,,
15/03/2020,4448,,,,,,,,,,,
16/03/2020,4489,,,,,,,,,,,
17/03/2020,3575,,,,,,,,,,,
18/03/2020,3258,,,,,,,,,,,
19/03/2020,3278,,,,,,,,,,,
20/03/2020,3265,,,,,,,,,,,
21/03/2020,1926,,,,,,,,,,,
22/03/2020,1904,,,,,,,,,,,
23/03/2020,1663,,,,,,,,,,,
24/03/2020,1348,,,,,,,,,,,
